TBK_t1,TBK_t2,TBK_t3
7.89,7.5325,7.5325
7.5325,7.5325,7.5325
7.44,7.4,6.99
7.4,6.99,7.12
6.99,7.12,7.2375
7.12,7.2375,7.2375
7.2375,7.2375,7.2375
5.08,1.07,3.59
1.07,3.59,0.0
3.59,0.0,2.435
0.0,2.435,2.435
2.435,2.435,2.435
7.29,7.63,6.18
7.63,6.18,6.29
6.18,6.29,6.8475
6.29,6.8475,6.8475
6.8475,6.8475,6.8475
6.38,4.63,1.7
4.63,1.7,3.32
1.7,3.32,4.0075
3.32,4.0075,4.0075
4.0075,4.0075,4.0075
7.09,6.8,6.72
6.8,6.72,6.27
6.72,6.27,6.72
6.27,6.72,6.72
6.72,6.72,6.72
8.31,6.67,8.21
6.67,8.21,8.34
8.21,8.34,7.8825
8.34,7.8825,7.8825
7.8825,7.8825,7.8825
5.14,4.8,3.49
4.8,3.49,5.11
3.49,5.11,4.635
5.11,4.635,4.635
4.635,4.635,4.635
6.29,5.8,5.97
5.8,5.97,6.17
5.97,6.17,6.0575
6.17,6.0575,6.0575
6.0575,6.0575,6.0575
6.33,4.33,5.1
4.33,5.1,0.84
5.1,0.84,4.15
0.84,4.15,4.15
4.15,4.15,4.15
7.07,6.13,6.34
6.13,6.34,6.44
6.34,6.44,6.495
6.44,6.495,6.495
6.495,6.495,6.495
8.88,7.07,8.18
7.07,8.18,7.64
8.18,7.64,7.942500000000001
7.64,7.942500000000001,7.942500000000001
7.942500000000001,7.942500000000001,7.942500000000001
5.71,4.73,4.88
4.73,4.88,5.71
4.88,5.71,5.2575
5.71,5.2575,5.2575
5.2575,5.2575,5.2575
7.68,6.8,7.56
6.8,7.56,6.86
7.56,6.86,7.225
6.86,7.225,7.225
7.225,7.225,7.225
6.03,4.53,4.58
4.53,4.58,3.88
4.58,3.88,4.755000000000001
3.88,4.755000000000001,4.755000000000001
4.755000000000001,4.755000000000001,4.755000000000001
5.82,5.13,4.12
5.13,4.12,5.55
4.12,5.55,5.154999999999999
5.55,5.154999999999999,5.154999999999999
5.154999999999999,5.154999999999999,5.154999999999999
8.14,7.1,7.4
7.1,7.4,7.06
7.4,7.06,7.425000000000001
7.06,7.425000000000001,7.425000000000001
7.425000000000001,7.425000000000001,7.425000000000001
6.41,4.57,4.86
4.57,4.86,5.06
4.86,5.06,5.225
5.06,5.225,5.225
5.225,5.225,5.225
8.02,6.53,6.54
6.53,6.54,5.85
6.54,5.85,6.735
5.85,6.735,6.735
6.735,6.735,6.735
6.54,6.13,5.82
6.13,5.82,5.6
5.82,5.6,6.0225
5.6,6.0225,6.0225
6.0225,6.0225,6.0225
5.57,3.87,3.1
3.87,3.1,5.39
3.1,5.39,4.4825
5.39,4.4825,4.4825
4.4825,4.4825,4.4825
7.4,5.3,5.07
5.3,5.07,5.93
5.07,5.93,5.925
5.93,5.925,5.925
5.925,5.925,5.925
5.02,0.0,0.0
0.0,0.0,0.0
0.0,0.0,1.255
0.0,1.255,1.255
1.255,1.255,1.255
7.48,5.03,3.95
5.03,3.95,6.62
3.95,6.62,5.7700000000000005
6.62,5.7700000000000005,5.7700000000000005
5.7700000000000005,5.7700000000000005,5.7700000000000005
4.7,5.67,5.44
5.67,5.44,6.8
5.44,6.8,5.6525
6.8,5.6525,5.6525
5.6525,5.6525,5.6525
8.52,6.33,7.71
6.33,7.71,5.99
7.71,5.99,7.137499999999999
5.99,7.137499999999999,7.137499999999999
7.137499999999999,7.137499999999999,7.137499999999999
7.32,5.13,7.16
5.13,7.16,7.01
7.16,7.01,6.654999999999999
7.01,6.654999999999999,6.654999999999999
6.654999999999999,6.654999999999999,6.654999999999999
6.85,5.3,5.81
5.3,5.81,5.79
5.81,5.79,5.9375
5.79,5.9375,5.9375
5.9375,5.9375,5.9375
6.72,5.53,5.97
5.53,5.97,6.83
5.97,6.83,6.2625
6.83,6.2625,6.2625
6.2625,6.2625,6.2625
5.99,5.97,5.09
5.97,5.09,4.67
5.09,4.67,5.43
4.67,5.43,5.43
5.43,5.43,5.43
7.49,5.7,6.07
5.7,6.07,6.67
6.07,6.67,6.4825
6.67,6.4825,6.4825
6.4825,6.4825,6.4825
6.87,4.07,2.41
4.07,2.41,0.0
2.41,0.0,3.3375000000000004
0.0,3.3375000000000004,3.3375000000000004
3.3375000000000004,3.3375000000000004,3.3375000000000004
6.91,5.7,6.59
5.7,6.59,5.39
6.59,5.39,6.1475
5.39,6.1475,6.1475
6.1475,6.1475,6.1475
7.57,5.53,6.550000000000001
5.53,6.550000000000001,6.550000000000001
6.550000000000001,6.550000000000001,6.550000000000001
6.550000000000001,6.550000000000001,6.550000000000001
6.550000000000001,6.550000000000001,6.550000000000001
5.31,3.03,4.17
3.03,4.17,4.17
4.17,4.17,4.17
4.17,4.17,4.17
4.17,4.17,4.17
6.87,4.7,5.785
4.7,5.785,5.785
5.785,5.785,5.785
5.785,5.785,5.785
5.785,5.785,5.785
7.72,6.5,7.109999999999999
6.5,7.109999999999999,7.109999999999999
7.109999999999999,7.109999999999999,7.109999999999999
7.109999999999999,7.109999999999999,7.109999999999999
7.109999999999999,7.109999999999999,7.109999999999999
6.42,3.47,4.945
3.47,4.945,4.945
4.945,4.945,4.945
4.945,4.945,4.945
4.945,4.945,4.945
7.36,5.23,6.295
5.23,6.295,6.295
6.295,6.295,6.295
6.295,6.295,6.295
6.295,6.295,6.295
7.53,0.87,4.2
0.87,4.2,4.2
4.2,4.2,4.2
4.2,4.2,4.2
4.2,4.2,4.2
7.48,5.97,6.725
5.97,6.725,6.725
6.725,6.725,6.725
6.725,6.725,6.725
6.725,6.725,6.725
7.26,6.73,6.995
6.73,6.995,6.995
6.995,6.995,6.995
6.995,6.995,6.995
6.995,6.995,6.995
6.93,6.13,6.529999999999999
6.13,6.529999999999999,6.529999999999999
6.529999999999999,6.529999999999999,6.529999999999999
6.529999999999999,6.529999999999999,6.529999999999999
6.529999999999999,6.529999999999999,6.529999999999999
8.26,7.27,7.765
7.27,7.765,7.765
7.765,7.765,7.765
7.765,7.765,7.765
7.765,7.765,7.765
7.46,5.37,6.415
5.37,6.415,6.415
6.415,6.415,6.415
6.415,6.415,6.415
6.415,6.415,6.415
8.28,6.63,7.455
6.63,7.455,7.455
7.455,7.455,7.455
7.455,7.455,7.455
